,0
12,"[['x, y, z', '-x, y, -z', '-x, -y, -z', 'x, -y, z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z', '-x+1/2, -y+1/2, -z', 'x+1/2, -y+1/2, z'], ['x, 0, z', '-x, 0, -z', 'x+1/2, 1/2, z', '-x+1/2, 1/2, -z'], ['0, y, 1/2', '0, -y, 1/2', '1/2, y+1/2, 1/2', '1/2, -y+1/2, 1/2'], ['0, y, 0', '0, -y, 0', '1/2, y+1/2, 0', '1/2, -y+1/2, 0'], ['1/4, 1/4, 1/2', '3/4, 1/4, 1/2', '3/4, 3/4, 1/2', '5/4, 3/4, 1/2'], ['1/4, 1/4, 0', '3/4, 1/4, 0', '3/4, 3/4, 0', '5/4, 3/4, 0'], ['0, 1/2, 1/2', '1/2, 1, 1/2'], ['0, 0, 1/2', '1/2, 1/2, 1/2'], ['0, 1/2, 0', '1/2, 1, 0'], ['0, 0, 0', '1/2, 1/2, 0']]"
13,"[['x, y, z', '-x, y, -z+1/2', '-x, -y, -z', 'x, -y, z+1/2'], ['1/2, y, 1/4', '1/2, -y, 3/4'], ['0, y, 1/4', '0, -y, 3/4'], ['1/2, 0, 0', '1/2, 0, 1/2'], ['0, 1/2, 0', '0, 1/2, 1/2'], ['1/2, 1/2, 0', '1/2, 1/2, 1/2'], ['0, 0, 0', '0, 0, 1/2']]"
14,"[['x, y, z', '-x, y+1/2, -z+1/2', '-x, -y, -z', 'x, -y+1/2, z+1/2'], ['1/2, 0, 1/2', '1/2, 1/2, 0'], ['0, 0, 1/2', '0, 1/2, 0'], ['1/2, 0, 0', '1/2, 1/2, 1/2'], ['0, 0, 0', '0, 1/2, 1/2']]"
15,"[['x, y, z', '-x, y, -z+1/2', '-x, -y, -z', 'x, -y, z+1/2', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z+1/2', '-x+1/2, -y+1/2, -z', 'x+1/2, -y+1/2, z+1/2'], ['0, y, 1/4', '0, -y, 3/4', '1/2, y+1/2, 1/4', '1/2, -y+1/2, 3/4'], ['1/4, 1/4, 1/2', '3/4, 1/4, 0', '3/4, 3/4, 1/2', '5/4, 3/4, 0'], ['1/4, 1/4, 0', '3/4, 1/4, 1/2', '3/4, 3/4, 0', '5/4, 3/4, 1/2'], ['0, 1/2, 0', '0, 1/2, 1/2', '1/2, 1, 0', '1/2, 1, 1/2'], ['0, 0, 0', '0, 0, 1/2', '1/2, 1/2, 0', '1/2, 1/2, 1/2']]"
16,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['1/2, 1/2, z', '1/2, 1/2, -z'], ['0, 1/2, z', '0, 1/2, -z'], ['1/2, 0, z', '1/2, 0, -z'], ['0, 0, z', '0, 0, -z'], ['1/2, y, 1/2', '1/2, -y, 1/2'], ['1/2, y, 0', '1/2, -y, 0'], ['0, y, 1/2', '0, -y, 1/2'], ['0, y, 0', '0, -y, 0'], ['x, 1/2, 1/2', '-x, 1/2, 1/2'], ['x, 1/2, 0', '-x, 1/2, 0'], ['x, 0, 1/2', '-x, 0, 1/2'], ['x, 0, 0', '-x, 0, 0'], ['1/2, 1/2, 1/2'], ['0, 1/2, 1/2'], ['1/2, 0, 1/2'], ['1/2, 1/2, 0'], ['0, 0, 1/2'], ['0, 1/2, 0'], ['1/2, 0, 0'], ['0, 0, 0']]"
17,"[['x, y, z', '-x, -y, z+1/2', '-x, y, -z+1/2', 'x, -y, -z'], ['1/2, y, 1/4', '1/2, -y, 3/4'], ['0, y, 1/4', '0, -y, 3/4'], ['x, 1/2, 0', '-x, 1/2, 1/2'], ['x, 0, 0', '-x, 0, 1/2']]"
18,"[['x, y, z', '-x, -y, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['0, 1/2, z', '1/2, 0, -z'], ['0, 0, z', '1/2, 1/2, -z']]"
19,"[['x, y, z', '-x+1/2, -y, z+1/2', '-x, y+1/2, -z+1/2', 'x+1/2, -y+1/2, -z']]"
20,"[['x, y, z', '-x, -y, z+1/2', '-x, y, -z+1/2', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z+1/2', '-x+1/2, y+1/2, -z+1/2', 'x+1/2, -y+1/2, -z'], ['0, y, 1/4', '0, -y, 3/4', '1/2, y+1/2, 1/4', '1/2, -y+1/2, 3/4'], ['x, 0, 0', '-x, 0, 1/2', 'x+1/2, 1/2, 0', '-x+1/2, 1/2, 1/2']]"
21,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['1/4, 1/4, z', '3/4, 1/4, -z', '3/4, 3/4, z', '5/4, 3/4, -z'], ['0, 1/2, z', '0, 1/2, -z', '1/2, 1, z', '1/2, 1, -z'], ['0, 0, z', '0, 0, -z', '1/2, 1/2, z', '1/2, 1/2, -z'], ['0, y, 1/2', '0, -y, 1/2', '1/2, y+1/2, 1/2', '1/2, -y+1/2, 1/2'], ['0, y, 0', '0, -y, 0', '1/2, y+1/2, 0', '1/2, -y+1/2, 0'], ['x, 0, 1/2', '-x, 0, 1/2', 'x+1/2, 1/2, 1/2', '-x+1/2, 1/2, 1/2'], ['x, 0, 0', '-x, 0, 0', 'x+1/2, 1/2, 0', '-x+1/2, 1/2, 0'], ['0, 0, 1/2', '1/2, 1/2, 1/2'], ['1/2, 0, 1/2', '1, 1/2, 1/2'], ['0, 1/2, 0', '1/2, 1, 0'], ['0, 0, 0', '1/2, 1/2, 0']]"
22,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'x, y+1/2, z+1/2', '-x, -y+1/2, z+1/2', '-x, y+1/2, -z+1/2', 'x, -y+1/2, -z+1/2', 'x+1/2, y, z+1/2', '-x+1/2, -y, z+1/2', '-x+1/2, y, -z+1/2', 'x+1/2, -y, -z+1/2', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['x, 1/4, 1/4', '-x, 3/4, 1/4', 'x, 3/4, 3/4', '-x, 5/4, 3/4', 'x+1/2, 1/4, 3/4', '-x+1/2, 3/4, 3/4', 'x+1/2, 3/4, 1/4', '-x+1/2, 5/4, 1/4'], ['1/4, y, 1/4', '3/4, -y, 1/4', '1/4, y+1/2, 3/4', '3/4, -y+1/2, 3/4', '3/4, y, 3/4', '5/4, -y, 3/4', '3/4, y+1/2, 1/4', '5/4, -y+1/2, 1/4'], ['1/4, 1/4, z', '3/4, 1/4, -z', '1/4, 3/4, z+1/2', '3/4, 3/4, -z+1/2', '3/4, 1/4, z+1/2', '5/4, 1/4, -z+1/2', '3/4, 3/4, z', '5/4, 3/4, -z'], ['0, 0, z', '0, 0, -z', '0, 1/2, z+1/2', '0, 1/2, -z+1/2', '1/2, 0, z+1/2', '1/2, 0, -z+1/2', '1/2, 1/2, z', '1/2, 1/2, -z'], ['0, y, 0', '0, -y, 0', '0, y+1/2, 1/2', '0, -y+1/2, 1/2', '1/2, y, 1/2', '1/2, -y, 1/2', '1/2, y+1/2, 0', '1/2, -y+1/2, 0'], ['x, 0, 0', '-x, 0, 0', 'x, 1/2, 1/2', '-x, 1/2, 1/2', 'x+1/2, 0, 1/2', '-x+1/2, 0, 1/2', 'x+1/2, 1/2, 0', '-x+1/2, 1/2, 0'], ['1/4, 1/4, 3/4', '1/4, 3/4, 5/4', '3/4, 1/4, 5/4', '3/4, 3/4, 3/4'], ['1/4, 1/4, 1/4', '1/4, 3/4, 3/4', '3/4, 1/4, 3/4', '3/4, 3/4, 1/4'], ['0, 0, 1/2', '0, 1/2, 1', '1/2, 0, 1', '1/2, 1/2, 1/2'], ['0, 0, 0', '0, 1/2, 1/2', '1/2, 0, 1/2', '1/2, 1/2, 0']]"
23,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'x+1/2, y+1/2, z+1/2', '-x+1/2, -y+1/2, z+1/2', '-x+1/2, y+1/2, -z+1/2', 'x+1/2, -y+1/2, -z+1/2'], ['0, 1/2, z', '0, 1/2, -z', '1/2, 1, z+1/2', '1/2, 1, -z+1/2'], ['0, 0, z', '0, 0, -z', '1/2, 1/2, z+1/2', '1/2, 1/2, -z+1/2'], ['1/2, y, 0', '1/2, -y, 0', '1, y+1/2, 1/2', '1, -y+1/2, 1/2'], ['0, y, 0', '0, -y, 0', '1/2, y+1/2, 1/2', '1/2, -y+1/2, 1/2'], ['x, 0, 1/2', '-x, 0, 1/2', 'x+1/2, 1/2, 1', '-x+1/2, 1/2, 1'], ['x, 0, 0', '-x, 0, 0', 'x+1/2, 1/2, 1/2', '-x+1/2, 1/2, 1/2'], ['0, 1/2, 0', '1/2, 1, 1/2'], ['0, 0, 1/2', '1/2, 1/2, 1'], ['1/2, 0, 0', '1, 1/2, 1/2'], ['0, 0, 0', '1/2, 1/2, 1/2']]"
24,"[['x, y, z', '-x+1/2, -y, z+1/2', '-x, y+1/2, -z+1/2', 'x+1/2, -y+1/2, -z', 'x+1/2, y+1/2, z+1/2', '-x+1, -y+1/2, z+1', '-x+1/2, y+1, -z+1', 'x+1, -y+1, -z+1/2'], ['0, 1/4, z', '0, 3/4, -z+1/2', '1/2, 3/4, z+1/2', '1/2, 5/4, -z+1'], ['1/4, y, 0', '1/4, -y, 1/2', '3/4, y+1/2, 1/2', '3/4, -y+1/2, 1'], ['x, 0, 1/4', '-x+1/2, 0, 3/4', 'x+1/2, 1/2, 3/4', '-x+1, 1/2, 5/4']]"
25,"[['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z'], ['1/2, y, z', '1/2, -y, z'], ['0, y, z', '0, -y, z'], ['x, 1/2, z', '-x, 1/2, z'], ['x, 0, z', '-x, 0, z'], ['1/2, 1/2, z'], ['1/2, 0, z'], ['0, 1/2, z'], ['0, 0, z']]"
26,"[['x, y, z', '-x, -y, z+1/2', 'x, -y, z+1/2', '-x, y, z'], ['1/2, y, z', '1/2, -y, z+1/2'], ['0, y, z', '0, -y, z+1/2']]"
27,"[['x, y, z', '-x, -y, z', 'x, -y, z+1/2', '-x, y, z+1/2'], ['1/2, 1/2, z', '1/2, 1/2, z+1/2'], ['1/2, 0, z', '1/2, 0, z+1/2'], ['0, 1/2, z', '0, 1/2, z+1/2'], ['0, 0, z', '0, 0, z+1/2']]"
28,"[['x, y, z', '-x, -y, z', 'x+1/2, -y, z', '-x+1/2, y, z'], ['1/4, y, z', '3/4, -y, z'], ['0, 1/2, z', '1/2, 1/2, z'], ['0, 0, z', '1/2, 0, z']]"
29,"[['x, y, z', '-x, -y, z+1/2', 'x+1/2, -y, z', '-x+1/2, y, z+1/2']]"
30,"[['x, y, z', '-x, -y, z', 'x, -y+1/2, z+1/2', '-x, y+1/2, z+1/2'], ['1/2, 0, z', '1/2, 1/2, z+1/2'], ['0, 0, z', '0, 1/2, z+1/2']]"
31,"[['x, y, z', '-x+1/2, -y, z+1/2', 'x+1/2, -y, z+1/2', '-x, y, z'], ['0, y, z', '1/2, -y, z+1/2']]"
32,"[['x, y, z', '-x, -y, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z'], ['0, 1/2, z', '1/2, 0, z'], ['0, 0, z', '1/2, 1/2, z']]"
33,"[['x, y, z', '-x, -y, z+1/2', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z+1/2']]"
34,"[['x, y, z', '-x, -y, z', 'x+1/2, -y+1/2, z+1/2', '-x+1/2, y+1/2, z+1/2'], ['0, 1/2, z', '1/2, 0, z+1/2'], ['0, 0, z', '1/2, 1/2, z+1/2']]"
35,"[['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z'], ['0, y, z', '0, -y, z', '1/2, y+1/2, z', '1/2, -y+1/2, z'], ['x, 0, z', '-x, 0, z', 'x+1/2, 1/2, z', '-x+1/2, 1/2, z'], ['1/4, 1/4, z', '1/4, 3/4, z', '3/4, 3/4, z', '3/4, 5/4, z'], ['0, 1/2, z', '1/2, 1, z'], ['0, 0, z', '1/2, 1/2, z']]"
36,"[['x, y, z', '-x, -y, z+1/2', 'x, -y, z+1/2', '-x, y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z+1/2', 'x+1/2, -y+1/2, z+1/2', '-x+1/2, y+1/2, z'], ['0, y, z', '0, -y, z+1/2', '1/2, y+1/2, z', '1/2, -y+1/2, z+1/2']]"
37,"[['x, y, z', '-x, -y, z', 'x, -y, z+1/2', '-x, y, z+1/2', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', 'x+1/2, -y+1/2, z+1/2', '-x+1/2, y+1/2, z+1/2'], ['1/4, 1/4, z', '1/4, 3/4, z+1/2', '3/4, 3/4, z', '3/4, 5/4, z+1/2'], ['0, 1/2, z', '0, 1/2, z+1/2', '1/2, 1, z', '1/2, 1, z+1/2'], ['0, 0, z', '0, 0, z+1/2', '1/2, 1/2, z', '1/2, 1/2, z+1/2']]"
38,"[['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z', 'x, y+1/2, z+1/2', '-x, -y+1/2, z+1/2', 'x, -y+1/2, z+1/2', '-x, y+1/2, z+1/2'], ['1/2, y, z', '1/2, -y, z', '1/2, y+1/2, z+1/2', '1/2, -y+1/2, z+1/2'], ['0, y, z', '0, -y, z', '0, y+1/2, z+1/2', '0, -y+1/2, z+1/2'], ['x, 0, z', '-x, 0, z', 'x, 1/2, z+1/2', '-x, 1/2, z+1/2'], ['1/2, 0, z', '1/2, 1/2, z+1/2'], ['0, 0, z', '0, 1/2, z+1/2']]"
39,"[['x, y, z', '-x, -y, z', 'x, -y+1/2, z', '-x, y+1/2, z', 'x, y+1/2, z+1/2', '-x, -y+1/2, z+1/2', 'x, -y+1, z+1/2', '-x, y+1, z+1/2'], ['x, 1/4, z', '-x, 3/4, z', 'x, 3/4, z+1/2', '-x, 5/4, z+1/2'], ['1/2, 0, z', '1/2, 1/2, z', '1/2, 1/2, z+1/2', '1/2, 1, z+1/2'], ['0, 0, z', '0, 1/2, z', '0, 1/2, z+1/2', '0, 1, z+1/2']]"
40,"[['x, y, z', '-x, -y, z', 'x+1/2, -y, z', '-x+1/2, y, z', 'x, y+1/2, z+1/2', '-x, -y+1/2, z+1/2', 'x+1/2, -y+1/2, z+1/2', '-x+1/2, y+1/2, z+1/2'], ['1/4, y, z', '3/4, -y, z', '1/4, y+1/2, z+1/2', '3/4, -y+1/2, z+1/2'], ['0, 0, z', '1/2, 0, z', '0, 1/2, z+1/2', '1/2, 1/2, z+1/2']]"
41,"[['x, y, z', '-x, -y, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z', 'x, y+1/2, z+1/2', '-x, -y+1/2, z+1/2', 'x+1/2, -y+1, z+1/2', '-x+1/2, y+1, z+1/2'], ['0, 0, z', '1/2, 1/2, z', '0, 1/2, z+1/2', '1/2, 1, z+1/2']]"
42,"[['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z', 'x, y+1/2, z+1/2', '-x, -y+1/2, z+1/2', 'x, -y+1/2, z+1/2', '-x, y+1/2, z+1/2', 'x+1/2, y, z+1/2', '-x+1/2, -y, z+1/2', 'x+1/2, -y, z+1/2', '-x+1/2, y, z+1/2', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z'], ['x, 0, z', '-x, 0, z', 'x, 1/2, z+1/2', '-x, 1/2, z+1/2', 'x+1/2, 0, z+1/2', '-x+1/2, 0, z+1/2', 'x+1/2, 1/2, z', '-x+1/2, 1/2, z'], ['0, y, z', '0, -y, z', '0, y+1/2, z+1/2', '0, -y+1/2, z+1/2', '1/2, y, z+1/2', '1/2, -y, z+1/2', '1/2, y+1/2, z', '1/2, -y+1/2, z'], ['1/4, 1/4, z', '1/4, 3/4, z', '1/4, 3/4, z+1/2', '1/4, 5/4, z+1/2', '3/4, 1/4, z+1/2', '3/4, 3/4, z+1/2', '3/4, 3/4, z', '3/4, 5/4, z'], ['0, 0, z', '0, 1/2, z+1/2', '1/2, 0, z+1/2', '1/2, 1/2, z']]"
43,"[['x, y, z', '-x, -y, z', 'x+1/4, -y+1/4, z+1/4', '-x+1/4, y+1/4, z+1/4', 'x, y+1/2, z+1/2', '-x, -y+1/2, z+1/2', 'x+1/4, -y+3/4, z+3/4', '-x+1/4, y+3/4, z+3/4', 'x+1/2, y, z+1/2', '-x+1/2, -y, z+1/2', 'x+3/4, -y+1/4, z+3/4', '-x+3/4, y+1/4, z+3/4', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', 'x+3/4, -y+3/4, z+1/4', '-x+3/4, y+3/4, z+1/4'], ['0, 0, z', '1/4, 1/4, z+1/4', '0, 1/2, z+1/2', '1/4, 3/4, z+3/4', '1/2, 0, z+1/2', '3/4, 1/4, z+3/4', '1/2, 1/2, z', '3/4, 3/4, z+1/4']]"
44,"[['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z', 'x+1/2, y+1/2, z+1/2', '-x+1/2, -y+1/2, z+1/2', 'x+1/2, -y+1/2, z+1/2', '-x+1/2, y+1/2, z+1/2'], ['0, y, z', '0, -y, z', '1/2, y+1/2, z+1/2', '1/2, -y+1/2, z+1/2'], ['x, 0, z', '-x, 0, z', 'x+1/2, 1/2, z+1/2', '-x+1/2, 1/2, z+1/2'], ['0, 1/2, z', '1/2, 1, z+1/2'], ['0, 0, z', '1/2, 1/2, z+1/2']]"
45,"[['x, y, z', '-x, -y, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z', 'x+1/2, y+1/2, z+1/2', '-x+1/2, -y+1/2, z+1/2', 'x+1, -y+1, z+1/2', '-x+1, y+1, z+1/2'], ['0, 1/2, z', '1/2, 0, z', '1/2, 1, z+1/2', '1, 1/2, z+1/2'], ['0, 0, z', '1/2, 1/2, z', '1/2, 1/2, z+1/2', '1, 1, z+1/2']]"
46,"[['x, y, z', '-x, -y, z', 'x+1/2, -y, z', '-x+1/2, y, z', 'x+1/2, y+1/2, z+1/2', '-x+1/2, -y+1/2, z+1/2', 'x+1, -y+1/2, z+1/2', '-x+1, y+1/2, z+1/2'], ['1/4, y, z', '3/4, -y, z', '3/4, y+1/2, z+1/2', '5/4, -y+1/2, z+1/2'], ['0, 0, z', '1/2, 0, z', '1/2, 1/2, z+1/2', '1, 1/2, z+1/2']]"
47,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z'], ['x, y, 1/2', '-x, -y, 1/2', '-x, y, 1/2', 'x, -y, 1/2'], ['x, y, 0', '-x, -y, 0', '-x, y, 0', 'x, -y, 0'], ['x, 1/2, z', '-x, 1/2, z', '-x, 1/2, -z', 'x, 1/2, -z'], ['x, 0, z', '-x, 0, z', '-x, 0, -z', 'x, 0, -z'], ['1/2, y, z', '1/2, -y, z', '1/2, y, -z', '1/2, -y, -z'], ['0, y, z', '0, -y, z', '0, y, -z', '0, -y, -z'], ['1/2, 1/2, z', '1/2, 1/2, -z'], ['1/2, 0, z', '1/2, 0, -z'], ['0, 1/2, z', '0, 1/2, -z'], ['0, 0, z', '0, 0, -z'], ['1/2, y, 1/2', '1/2, -y, 1/2'], ['1/2, y, 0', '1/2, -y, 0'], ['0, y, 1/2', '0, -y, 1/2'], ['0, y, 0', '0, -y, 0'], ['x, 1/2, 1/2', '-x, 1/2, 1/2'], ['x, 1/2, 0', '-x, 1/2, 0'], ['x, 0, 1/2', '-x, 0, 1/2'], ['x, 0, 0', '-x, 0, 0'], ['1/2, 1/2, 1/2'], ['0, 1/2, 1/2'], ['1/2, 1/2, 0'], ['0, 1/2, 0'], ['1/2, 0, 1/2'], ['0, 0, 1/2'], ['1/2, 0, 0'], ['0, 0, 0']]"
48,"[['x, y, z', '-x+1/2, -y+1/2, z', '-x+1/2, y, -z+1/2', 'x, -y+1/2, -z+1/2', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'x+1/2, -y, z+1/2', '-x, y+1/2, z+1/2'], ['1/4, 3/4, z', '1/4, 3/4, -z+1/2', '3/4, 1/4, -z', '3/4, 1/4, z+1/2'], ['1/4, 1/4, z', '1/4, 1/4, -z+1/2', '3/4, 3/4, -z', '3/4, 3/4, z+1/2'], ['3/4, y, 1/4', '3/4, -y+1/2, 1/4', '1/4, -y, 3/4', '1/4, y+1/2, 3/4'], ['1/4, y, 1/4', '1/4, -y+1/2, 1/4', '3/4, -y, 3/4', '3/4, y+1/2, 3/4'], ['x, 1/4, 3/4', '-x+1/2, 1/4, 3/4', '-x, 3/4, 1/4', 'x+1/2, 3/4, 1/4'], ['x, 1/4, 1/4', '-x+1/2, 1/4, 1/4', '-x, 3/4, 3/4', 'x+1/2, 3/4, 3/4'], ['0, 0, 0', '1/2, 1/2, 0', '1/2, 0, 1/2', '0, 1/2, 1/2'], ['1/2, 1/2, 1/2', '0, 0, 1/2', '0, 1/2, 0', '1/2, 0, 0'], ['1/4, 3/4, 1/4', '3/4, 1/4, 3/4'], ['1/4, 1/4, 3/4', '3/4, 3/4, 1/4'], ['3/4, 1/4, 1/4', '1/4, 3/4, 3/4'], ['1/4, 1/4, 1/4', '3/4, 3/4, 3/4']]"
49,"[['x, y, z', '-x, -y, z', '-x, y, -z+1/2', 'x, -y, -z+1/2', '-x, -y, -z', 'x, y, -z', 'x, -y, z+1/2', '-x, y, z+1/2'], ['x, y, 0', '-x, -y, 0', '-x, y, 1/2', 'x, -y, 1/2'], ['1/2, 0, z', '1/2, 0, -z+1/2', '1/2, 0, -z', '1/2, 0, z+1/2'], ['0, 1/2, z', '0, 1/2, -z+1/2', '0, 1/2, -z', '0, 1/2, z+1/2'], ['1/2, 1/2, z', '1/2, 1/2, -z+1/2', '1/2, 1/2, -z', '1/2, 1/2, z+1/2'], ['0, 0, z', '0, 0, -z+1/2', '0, 0, -z', '0, 0, z+1/2'], ['1/2, y, 1/4', '1/2, -y, 1/4', '1/2, -y, 3/4', '1/2, y, 3/4'], ['0, y, 1/4', '0, -y, 1/4', '0, -y, 3/4', '0, y, 3/4'], ['x, 1/2, 1/4', '-x, 1/2, 1/4', '-x, 1/2, 3/4', 'x, 1/2, 3/4'], ['x, 0, 1/4', '-x, 0, 1/4', '-x, 0, 3/4', 'x, 0, 3/4'], ['1/2, 1/2, 1/4', '1/2, 1/2, 3/4'], ['0, 1/2, 1/4', '0, 1/2, 3/4'], ['1/2, 0, 1/4', '1/2, 0, 3/4'], ['0, 0, 1/4', '0, 0, 3/4'], ['1/2, 0, 0', '1/2, 0, 1/2'], ['0, 1/2, 0', '0, 1/2, 1/2'], ['1/2, 1/2, 0', '1/2, 1/2, 1/2'], ['0, 0, 0', '0, 0, 1/2']]"
50,"[['x, y, z', '-x+1/2, -y+1/2, z', '-x+1/2, y, -z', 'x, -y+1/2, -z', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'x+1/2, -y, z', '-x, y+1/2, z'], ['1/4, 3/4, z', '1/4, 3/4, -z', '3/4, 1/4, -z', '3/4, 1/4, z'], ['1/4, 1/4, z', '1/4, 1/4, -z', '3/4, 3/4, -z', '3/4, 3/4, z'], ['1/4, y, 1/2', '1/4, -y+1/2, 1/2', '3/4, -y, 1/2', '3/4, y+1/2, 1/2'], ['1/4, y, 0', '1/4, -y+1/2, 0', '3/4, -y, 0', '3/4, y+1/2, 0'], ['x, 1/4, 1/2', '-x+1/2, 1/4, 1/2', '-x, 3/4, 1/2', 'x+1/2, 3/4, 1/2'], ['x, 1/4, 0', '-x+1/2, 1/4, 0', '-x, 3/4, 0', 'x+1/2, 3/4, 0'], ['0, 0, 1/2', '1/2, 1/2, 1/2', '1/2, 0, 1/2', '0, 1/2, 1/2'], ['0, 0, 0', '1/2, 1/2, 0', '1/2, 0, 0', '0, 1/2, 0'], ['1/4, 1/4, 1/2', '3/4, 3/4, 1/2'], ['3/4, 1/4, 1/2', '1/4, 3/4, 1/2'], ['3/4, 1/4, 0', '1/4, 3/4, 0'], ['1/4, 1/4, 0', '3/4, 3/4, 0']]"
51,"[['x, y, z', '-x+1/2, -y, z', '-x, y, -z', 'x+1/2, -y, -z', '-x, -y, -z', 'x+1/2, y, -z', 'x, -y, z', '-x+1/2, y, z'], ['1/4, y, z', '1/4, -y, z', '3/4, y, -z', '3/4, -y, -z'], ['x, 1/2, z', '-x+1/2, 1/2, z', '-x, 1/2, -z', 'x+1/2, 1/2, -z'], ['x, 0, z', '-x+1/2, 0, z', '-x, 0, -z', 'x+1/2, 0, -z'], ['0, y, 1/2', '1/2, -y, 1/2', '0, -y, 1/2', '1/2, y, 1/2'], ['0, y, 0', '1/2, -y, 0', '0, -y, 0', '1/2, y, 0'], ['1/4, 1/2, z', '3/4, 1/2, -z'], ['1/4, 0, z', '3/4, 0, -z'], ['0, 1/2, 1/2', '1/2, 1/2, 1/2'], ['0, 0, 1/2', '1/2, 0, 1/2'], ['0, 1/2, 0', '1/2, 1/2, 0'], ['0, 0, 0', '1/2, 0, 0']]"
